Name,Profile_URL,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
Herdem,http://ufcstats.com/fighter-details/7578cc6bd750206b,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0
Javi,http://ufcstats.com/fighter-details/2144954270be834d,Alanis,,"5' 6""",135 lbs.,--,,0,4,0
,http://ufcstats.com/fighter-details/1897b7b913736a7c,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,17,10,2
Amir,http://ufcstats.com/fighter-details/6d35bf94f7d30241,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,2,0
Brett,http://ufcstats.com/fighter-details/9b28292abe3166d5,Albee,,--,225 lbs.,--,,3,2,0
John,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0
Junior,http://ufcstats.com/fighter-details/c482c8605455a213,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0
Wes,http://ufcstats.com/fighter-details/184b955181bdef52,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0
Aleksandra,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0
Israel,http://ufcstats.com/fighter-details/dd1b90eea08887f6,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0
Juan,http://ufcstats.com/fighter-details/39f62b833e4cf126,Alcain,,--,--,--,,1,2,0
Iuri,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0
Ildemar,http://ufcstats.com/fighter-details/7c6e87729e824ef4,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0
Alfonso,http://ufcstats.com/fighter-details/1e38bba6738b7b10,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1
Gilbert,http://ufcstats.com/fighter-details/d26934530dc5b248,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0
Irene,http://ufcstats.com/fighter-details/578ef12674df1e6a,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,8,0
Hector,http://ufcstats.com/fighter-details/c487223b0289bda9,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0
Jose,http://ufcstats.com/fighter-details/7460ddef986d3144,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1
Jose,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32,9,0
